 DECAY0 generated file: 0nu2bplus_test.dat                      

  date and hour         :   12. 6.2019    10:36: 8
  initial random number :            0
    
  event type: Xe124           
              0nubb(mn) 0+ -> 0+     {2n}      
              level, Elevel (MeV) =  0+       0.0000     MeV
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
           1       10000
  2 -0.492605     -0.718436     -0.143446      0.00000    
  2  0.499454     -0.909844E-01 -0.380591      0.00000    
      63  0.00000       2
  2  0.349751     -0.477787     -0.900140E-01  0.00000    
  2 -0.593303      0.390519      0.575757      0.00000    
      64  0.00000       2
  2 -0.554575     -0.429263     -0.824050      0.00000    
  2  0.323678      0.713787E-01 -0.190135      0.00000    
      65  0.00000       2
  2 -0.414561E-01 -0.749344     -0.828681      0.00000    
  2 -0.129414      0.117480      0.273739      0.00000    
      66  0.00000       2
  2 -0.759188     -0.458500      0.164711      0.00000    
  2  0.365484      0.351858     -0.343920      0.00000    
      67  0.00000       2
  2  0.245622     -0.490064      0.125908      0.00000    
  2 -0.918728      0.214927     -0.621648E-01  0.00000    
      68  0.00000       2
  2 -0.736632      0.232754      0.991516E-01  0.00000    
  2  0.443508      0.589720     -0.100902      0.00000    
      69  0.00000       2
  2 -0.117948     -0.350088      0.316009      0.00000    
  2 -0.169717      0.225304      0.966912      0.00000    
      70  0.00000       2
  2  0.778230E-01 -0.818594     -0.869147E-01  0.00000    
  2  0.168271      0.170123     -0.652604      0.00000    
      71  0.00000       2
  2  0.951209E-01 -0.215919      0.944740      0.00000    
  2  0.515312      0.115665      0.154510E-01  0.00000    
      72  0.00000       2
  2  0.194012      0.968664      0.959543E-01  0.00000    
  2  0.324205      0.826398E-02 -0.386973      0.00000    
      73  0.00000       2
  2  0.416820     -0.474488      0.168744      0.00000    
  2 -0.844595     -0.259602E-01  0.186732      0.00000    
      74  0.00000       2
  2 -0.750316E-01 -0.405727      0.177773      0.00000    
  2  0.692214      0.476717      0.604071      0.00000    
      75  0.00000       2
