 DECAY0 generated file: test2nukb+                              

  date and hour         :    4. 6.2019    10:29:42
  initial random number :            0
    
  event type: Xe124           
              2nuKb+    0+ -> 0+, 2+           
              level, Elevel (MeV) =  0+       0.0000     MeV
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
  2   1.10108       1.13227     -0.236263      0.00000    
  1  0.724599E-02  0.278617E-01  0.135079E-01  0.00000    
      98  0.00000       2
  2  0.298440      0.194349      0.458311      0.00000    
  1 -0.158142E-01 -0.964602E-02 -0.258477E-01  0.00000    
      99  0.00000       2
  2 -0.781538      0.699699     -0.674219      0.00000    
  1 -0.163806E-02  0.156741E-01  0.276203E-01  0.00000    
     100  0.00000       2
  2  0.477863     -0.472016     -0.419064      0.00000    
  1 -0.305120E-01  0.863355E-02 -0.239187E-02  0.00000    
     101  0.00000       2
  2 -0.951095      0.682237     -0.170853E-01  0.00000    
  1 -0.319166E-02  0.313097E-01  0.455562E-02  0.00000    
     102  0.00000       2
  2 -0.487809       1.00127      0.275349      0.00000    
  1  0.144265E-01 -0.276113E-01 -0.638211E-02  0.00000    
     103  0.00000       2
  2  0.148655       1.04970     -0.453715E-01  0.00000    
  1 -0.853471E-02 -0.163182E-01 -0.259252E-01  0.00000    
     104  0.00000       2
  2 -0.875992      -1.02516     -0.127421      0.00000    
  1  0.103088E-01  0.169421E-01 -0.248583E-01  0.00000    
     105  0.00000       2
  2 -0.125882      0.953444       1.02690      0.00000    
  1 -0.204417E-02  0.302607E-01 -0.955782E-02  0.00000    
     106  0.00000       2
  2  0.531495      0.524186      0.399030      0.00000    
  1  0.270431E-01  0.582905E-02  0.156823E-01  0.00000    
     107  0.00000       2
  2  0.347172      0.212234      0.164908E-01  0.00000    
  1 -0.228069E-03 -0.301664E-01  0.100588E-01  0.00000    
     108  0.00000       2
  2   1.46838      0.398618      0.299805      0.00000    
  1  0.201232E-02  0.210055E-01  0.237899E-01  0.00000    
     109  0.00000       2
  2  0.520269     -0.132720      0.376365E-02  0.00000    
  1 -0.291967E-01  0.320937E-02 -0.121858E-01  0.00000    
     110  0.00000       2
  2  0.126173      0.317866     -0.145665      0.00000    
  1 -0.165879E-01  0.165512E-01  0.214975E-01  0.00000    
