 DECAY0 generated file: test0nukb+                              

  date and hour         :    4. 6.2019    10:30:30
  initial random number :            0
    
  event type: Xe124           
              0nuKb+    0+ -> 0+, 2+           
              level, Elevel (MeV) =  0+       0.0000     MeV
    
 Format of data:
  for each event    - event's number,
                      time of event's start, 
                      number of emitted particles;
  for each particle - GEANT number of particle,
                      x,y,z components of momentum,
                      time shift from previous time
    
 Time - in sec, momentum - in MeV/c
    
 First event and full number of events:
  1 -0.141988E-01  0.213179E-01  0.188463E-01  0.00000    
      68  0.00000       2
  2   1.66037      0.345726      -1.48889      0.00000    
  1  0.766711E-02  0.432185E-02  0.305578E-01  0.00000    
      69  0.00000       2
  2  0.146224E-01  -1.71349      -1.46863      0.00000    
  1  0.293489E-02 -0.314118E-01 -0.399104E-02  0.00000    
      70  0.00000       2
  2 -0.848424      0.806049      -1.92967      0.00000    
  1 -0.246843E-01 -0.191986E-01 -0.577394E-02  0.00000    
      71  0.00000       2
  2  0.445194      -2.16967     -0.432981      0.00000    
  1 -0.173606E-01  0.245916E-01  0.102519E-01  0.00000    
      72  0.00000       2
  2   1.88183      0.828980      0.929866      0.00000    
  1 -0.405072E-02  0.296887E-01 -0.106497E-01  0.00000    
      73  0.00000       2
  2 -0.444560      -1.06800       1.93776      0.00000    
  1  0.143822E-01  0.278475E-01  0.537642E-02  0.00000    
      74  0.00000       2
  2  0.963325      -2.00875      0.360693      0.00000    
  1  0.182851E-01  0.382464E-02 -0.257345E-01  0.00000    
      75  0.00000       2
  2  -2.11618     -0.754659      0.213127      0.00000    
  1 -0.237200E-01 -0.970060E-02 -0.188282E-01  0.00000    
      76  0.00000       2
  2  0.393775      0.508250       2.16328      0.00000    
  1 -0.242549E-02 -0.111439E-01 -0.296845E-01  0.00000    
      77  0.00000       2
  2  0.895230     -0.803059       1.90966      0.00000    
  1  0.806958E-02 -0.120360E-01 -0.283065E-01  0.00000    
      78  0.00000       2
  2  -2.21145     -0.330249     -0.305880      0.00000    
  1 -0.159756E-01  0.274380E-01  0.178263E-02  0.00000    
      79  0.00000       2
  2  0.960100      -1.21817      -1.63934      0.00000    
  1 -0.614886E-03  0.292820E-01  0.123865E-01  0.00000    
      80  0.00000       2
  2 -0.638475      -2.03115     -0.748298      0.00000    
  1 -0.284408E-01  0.776964E-02 -0.119162E-01  0.00000    
      81  0.00000       2
  2 -0.200742      -1.95785       1.10439      0.00000    
  1  0.164829E-01  0.271016E-01 -0.224884E-02  0.00000    
      82  0.00000       2
  2   1.01634      0.409324       1.97298      0.00000    
  1 -0.310006E-01 -0.681090E-02 -0.195290E-02  0.00000    
      83  0.00000       2
  2   1.76641      0.907236       1.07232      0.00000    
  1  0.353847E-02  0.288899E-01 -0.128098E-01  0.00000    
      84  0.00000       2
  2  0.711985     -0.590859      -2.05843      0.00000    
  1 -0.728731E-02 -0.385738E-02 -0.307125E-01  0.00000    
      85  0.00000       2
  2   1.37305       1.28590      -1.24673      0.00000    
  1  0.271771E-02 -0.288157E-01  0.131722E-01  0.00000    
      86  0.00000       2
  2   1.08062       1.97412     -0.168088      0.00000    
  1 -0.734360E-02 -0.309134E-01  0.129450E-02  0.00000    
      87  0.00000       2
  2 -0.924237      -1.76748      -1.05591      0.00000    
  1 -0.896350E-02 -0.303713E-01 -0.291208E-02  0.00000    
      88  0.00000       2
  2   1.49297       1.15506      -1.23694      0.00000    
  1 -0.152953E-01 -0.278667E-01  0.862200E-03  0.00000    
      89  0.00000       2
  2  -2.12586      0.512334     -0.558014      0.00000    
  1  0.174291E-01 -0.140131E-01 -0.226076E-01  0.00000    
      90  0.00000       2
  2  -2.08844     -0.625170E-01 -0.853043      0.00000    
  1 -0.177517E-02  0.182838E-01 -0.259575E-01  0.00000    
      91  0.00000       2
  2   1.48258      -1.60093     -0.576309      0.00000    
  1 -0.286373E-01  0.114046E-01 -0.781551E-02  0.00000    
      92  0.00000       2
  2  -1.58863      -1.26983     -0.978234      0.00000    
  1 -0.660878E-02  0.285399E-01 -0.123708E-01  0.00000    
      93  0.00000       2
  2 -0.550028      -1.33632       1.73346      0.00000    
  1 -0.279795E-01 -0.138071E-01  0.614415E-02  0.00000    
      94  0.00000       2
  2  0.597510     -0.650283       2.07684      0.00000    
  1 -0.481504E-03 -0.164894E-01 -0.271865E-01  0.00000    
      95  0.00000       2
  2  -2.22283     -0.354230     -0.163436      0.00000    
  1 -0.245974E-01 -0.110002E-01  0.168880E-01  0.00000    
      96  0.00000       2
  2   1.55770       1.49824      0.649633      0.00000    
  1 -0.312749E-01  0.547937E-02 -0.176067E-02  0.00000    
      97  0.00000       2
  2  0.113042      -1.31804      -1.82843      0.00000    
  1  0.284596E-01  0.630670E-02 -0.127089E-01  0.00000    
      98  0.00000       2
  2  -1.62932       1.33374     -0.812149      0.00000    
  1 -0.340142E-02  0.352249E-02 -0.314207E-01  0.00000    
      99  0.00000       2
  2   1.82000     -0.585244       1.19927      0.00000    
  1 -0.241640E-01  0.574044E-02 -0.198592E-01  0.00000    
     100  0.00000       2
  2  -1.02742      -1.10684      -1.67704      0.00000    
  1 -0.408407E-02  0.313615E-01 -0.331909E-02  0.00000    
     101  0.00000       2
  2  -2.01665      0.707360      0.725212      0.00000    
  1 -0.276091E-01  0.651136E-02 -0.143728E-01  0.00000    
     102  0.00000       2
  2  0.632947      -2.06388     -0.657970      0.00000    
  1 -0.128155E-02  0.146803E-01  0.281795E-01  0.00000    
     103  0.00000       2
  2  0.302345       2.21527     -0.307098      0.00000    
  1  0.764173E-02 -0.263056E-01 -0.161511E-01  0.00000    
     104  0.00000       2
  2 -0.364619     -0.562441       2.15496      0.00000    
  1 -0.293051E-01  0.547133E-02  0.110688E-01  0.00000    
     105  0.00000       2
  2 -0.790767     -0.999121       1.86269      0.00000    
  1  0.260798E-01  0.805902E-02  0.163138E-01  0.00000    
     106  0.00000       2
  2  -1.63295      0.375206       1.51190      0.00000    
  1  0.188269E-01 -0.102157E-01 -0.235038E-01  0.00000    
     107  0.00000       2
  2 -0.776599      -1.64328       1.33779      0.00000    
  1 -0.274516E-01  0.940158E-03  0.160239E-01  0.00000    
     108  0.00000       2
  2 -0.946383E-01  -1.82276      -1.32730      0.00000    
  1  0.128295E-01  0.256911E-02  0.289835E-01  0.00000    
     109  0.00000       2
  2   1.39270     -0.733700       1.61717      0.00000    
  1 -0.153071E-01  0.568220E-02  0.272882E-01  0.00000    
     110  0.00000       2
  2  -2.20867      0.446605     -0.124489      0.00000    
  1 -0.244436E-01  0.682912E-02  0.191602E-01  0.00000    
     111  0.00000       2
  2   1.51185      -1.56747     -0.592028      0.00000    
  1  0.117581E-01 -0.209625E-02 -0.294719E-01  0.00000    
     112  0.00000       2
  2  -1.26890       1.84666      0.269956      0.00000    
  1  0.211975E-01  0.503622E-02  0.231634E-01  0.00000    
     113  0.00000       2
  2   1.56807      -1.62232     -0.490797E-01  0.00000    
  1 -0.148584E-01  0.127076E-01 -0.250796E-01  0.00000    
     114  0.00000       2
  2  0.232288       1.35463      -1.79002      0.00000    
  1  0.265902E-01  0.136646E-01  0.108387E-01  0.00000    
     115  0.00000       2
  2  -1.27312     -0.303075       1.83860      0.00000    
  1  0.220164E-01  0.131083E-01 -0.188332E-01  0.00000    
     116  0.00000       2
  2   1.65420      -1.06936      -1.10147      0.00000    
  1  0.653215E-02  0.303623E-01 -0.683398E-02  0.00000    
     117  0.00000       2
  2  -1.42184       1.17126       1.30371      0.00000    
  1  0.216037E-01 -0.921746E-02 -0.214373E-01  0.00000    
     118  0.00000       2
  2  -1.90347      0.916814      0.793353      0.00000    
  1  0.754623E-02 -0.308553E-01 -0.149738E-02  0.00000    
     119  0.00000       2
  2 -0.268028       1.42147      -1.73226      0.00000    
  1  0.607378E-02 -0.271276E-01 -0.154415E-01  0.00000    
     120  0.00000       2
  2  -1.79153      -1.23645     -0.595617      0.00000    
  1  0.217944E-01 -0.180620E-01  0.144917E-01  0.00000    
     121  0.00000       2
  2  -1.39906     -0.223927      -1.75660      0.00000    
  1 -0.140733E-01 -0.147237E-01 -0.244212E-01  0.00000    
     122  0.00000       2
  2  0.997868       1.81976      0.886495      0.00000    
  1 -0.495273E-02 -0.314118E-01 -0.806239E-04  0.00000    
     123  0.00000       2
  2  -1.16739     -0.361132      -1.89735      0.00000    
  1 -0.238522E-01  0.139621E-01 -0.157281E-01  0.00000    
     124  0.00000       2
  2  -1.10291      -1.96733      0.796783E-01  0.00000    
  1  0.171897E-01 -0.109556E-01  0.244076E-01  0.00000    
     125  0.00000       2
  2  0.870784      -1.48026       1.46415      0.00000    
  1 -0.249389E-02  0.303827E-01  0.905054E-02  0.00000    
     126  0.00000       2
  2  -1.92285     -0.579295       1.02967      0.00000    
  1 -0.256504E-01 -0.180892E-01  0.510684E-02  0.00000    
     127  0.00000       2
  2   1.16522      0.184646       1.92388      0.00000    
  1 -0.162756E-01  0.377521E-02 -0.270572E-01  0.00000    
     128  0.00000       2
  2  -2.00126       1.03907      0.919537E-01  0.00000    
  1  0.118113E-01  0.414944E-02  0.292321E-01  0.00000    
     129  0.00000       2
  2  -1.67336       1.46563      0.380733      0.00000    
  1  0.246726E-01  0.834317E-02  0.182454E-01  0.00000    
     130  0.00000       2
  2   1.58935      -1.59824     -0.112909      0.00000    
  1 -0.209418E-01  0.108613E-01  0.213240E-01  0.00000    
     131  0.00000       2
  2   1.72048      -1.41556      0.359582      0.00000    
  1  0.248689E-01  0.131154E-02  0.197751E-01  0.00000    
     132  0.00000       2
  2   1.14058     -0.211471       1.93585      0.00000    
  1 -0.197511E-01 -0.247862E-01 -0.260315E-02  0.00000    
     133  0.00000       2
  2   1.80769     -0.193626      -1.33713      0.00000    
  1  0.271054E-01  0.155212E-01 -0.596897E-02  0.00000    
     134  0.00000       2
  2   1.22012       1.01215       1.60624      0.00000    
  1  0.227739E-03  0.184225E-01  0.259191E-01  0.00000    
     135  0.00000       2
  2 -0.285661E-01  0.147297      -2.25181      0.00000    
  1  0.185172E-01  0.235509E-01  0.106634E-01  0.00000    
     136  0.00000       2
  2  0.526671E-01  -1.91754       1.18888      0.00000    
  1  0.476364E-02  0.307040E-02  0.312909E-01  0.00000    
     137  0.00000       2
  2  -1.24416      0.108454       1.87975      0.00000    
  1  0.164193E-01 -0.145250E-01 -0.230363E-01  0.00000    
     138  0.00000       2
  2   2.08470      0.759700      0.412344      0.00000    
  1 -0.667353E-02  0.148277E-01 -0.273284E-01  0.00000    
     139  0.00000       2
  2  0.850635       1.69753      -1.21982      0.00000    
  1  0.175120E-01 -0.265237E-01  0.102955E-02  0.00000    
     140  0.00000       2
  2  -1.74480       1.42924     -0.781801E-01  0.00000    
  1  0.249719E-01  0.103527E-01 -0.167471E-01  0.00000    
     141  0.00000       2
  2  0.647570       2.16184     -0.162409E-01  0.00000    
  1 -0.125512E-01 -0.126055E-01  0.263592E-01  0.00000    
     142  0.00000       2
  2 -0.456027      -1.45445       1.66426      0.00000    
  1  0.640664E-02  0.241357E-01 -0.196891E-01  0.00000    
     143  0.00000       2
  2  0.742106     -0.524530       2.06574      0.00000    
  1 -0.235865E-01 -0.199105E-01 -0.764760E-02  0.00000    
     144  0.00000       2
